url,full_title_tesim,spotlight_upload_attribution_tesim,spotlight_upload_date_tesim
http://library.ucsd.edu/dc/object/bb36188311/_2.jpg,Students view the point of watermelon impact,,"June 4, 1965"
http://library.ucsd.edu/dc/object/bb1229726g/_2.jpg,Revelle College from North Torrey Pines Road looking northeast,,"February, 1965"
http://library.ucsd.edu/dc/object/bb21853666/_2.jpg,Student senate meeting,,"February, 1965"
http://library.ucsd.edu/dc/object/bb2151241d/_2.jpg,Revelle Commons under construction,,"February, 1965"
http://library.ucsd.edu/dc/object/bb20147186/_2.jpg,"""Student Elections 1965"" [title slide]",,"June, 1975"
http://library.ucsd.edu/dc/object/bb20488507/_2.jpg,University Library in Urey Hall,,"April, 1965"
http://library.ucsd.edu/dc/object/bb2117108m/_2.jpg,Galbraith Hall,,"September, 1965"
http://library.ucsd.edu/dc/object/bb1980587z/_2.jpg,Natatorium under construction,,"January, 1967"
http://library.ucsd.edu/dc/object/bb1946460w/_2.jpg,Students at a registration table,,"June, 1965"
http://library.ucsd.edu/dc/object/bb1912328v/_2.jpg,Intersection of Highway 101 and Miramar Road with Bonner Hall at right,,"January, 1964"
http://library.ucsd.edu/dc/object/bb1775806x/_2.jpg,Galbraith Hall building under construction,,"November, 1964"
http://library.ucsd.edu/dc/object/bb1844070d/_2.jpg,Students enjoying the first annual Watermelon Drop,,"June 4, 1965"
http://library.ucsd.edu/dc/object/bb6417489m/_2.jpg,Revelle College Residence Halls,,"November, 1965"
http://library.ucsd.edu/dc/object/bb6451616m/_2.jpg,Revelle Commons under construction,,"May, 1965"
http://library.ucsd.edu/dc/object/bb6315098m/_2.jpg,Dean of Student Affairs Ted Forbes checks voting roster at student election polls,,"December, 1964"
http://library.ucsd.edu/dc/object/bb63150994/_2.jpg,Urey Hall parking lot and Miramar Road,,"January, 1964"
http://library.ucsd.edu/dc/object/bb6280970s/_2.jpg,Ted Forbes driving the first UCSD school bus,,"December, 1964"
http://library.ucsd.edu/dc/object/bb6110318b/_2.jpg,Students watch the Bonner Hall building dedication ceremony,,"May 7, 1965"
http://library.ucsd.edu/dc/object/bb6212709b/_2.jpg,"View of La Jolla Shores and Scripps Institution of Oceanography, facing north",,"December, 1964"
http://library.ucsd.edu/dc/object/bb62127105/_2.jpg,Student officials at the Constitutional Convention,,"November 20, 1964"
http://library.ucsd.edu/dc/object/bb6178581k/_2.jpg,"""University of Calif. San Diego"" [title slide]",,"June, 1975"
http://library.ucsd.edu/dc/object/bb5871410f/_2.jpg,Freshmen at Welcome Day registration tables in front of Galbraith Hall,,"September 26, 1965"
http://library.ucsd.edu/dc/object/bb60761913/_2.jpg,Walkway in front of Urey Hall,,"September, 1965"
http://library.ucsd.edu/dc/object/bb6246835z/_2.jpg,Student Senate meeting,,"February, 1965"
http://library.ucsd.edu/dc/object/bb59055369/_2.jpg,Carl Eckart speaks at the Revelle College dedication ceremony,,"October 1, 1965"
http://library.ucsd.edu/dc/object/bb5905537t/_2.jpg,"Mayer Hall and ""Breezeway"" in foreground with Camp Matthews in background, facing west",,January 1964
http://library.ucsd.edu/dc/object/bb58372792/_2.jpg,Roger Revelle speaking at the Revelle College dedication ceremony,,"October 1, 1965"
http://library.ucsd.edu/dc/object/bb60079275/_2.jpg,"Bonner Hall, under construction, from Urey Hall, looking northeast with Scripps Hospital in background",,"January, 1964"
http://library.ucsd.edu/dc/object/bb6007928p/_2.jpg,Chancellor John Galbraith speaks at the Bonner Hall building dedication ceremony,,"May 7, 1965"
http://library.ucsd.edu/dc/object/bb7475521s/_2.jpg,Mayer Hall with Camp Matthews in background,,"May, 1965"
http://library.ucsd.edu/dc/object/bb7509647n/_2.jpg,"""Dr. Ted Forbes and Future Plans"" [title slide]",,"June, 1975"
http://library.ucsd.edu/dc/object/bb75096485/_2.jpg,Students watch as a commemorative tree is planted by the class of 1968,,"June, 1965"
http://library.ucsd.edu/dc/object/bb72707381/_2.jpg,Speakers at Chancellor John S. Galbraith's inauguration ceremony,,"November 5, 1965"
http://library.ucsd.edu/dc/object/bb74072575/_2.jpg,"Bonner Hall, under construction, from Urey Hall, looking northeast",,"January, 1964"
http://library.ucsd.edu/dc/object/bb7304867r/_2.jpg,Freshmen at Welcome Day registration tables in front of Galbraith Hall,,"September 26, 1965"
http://library.ucsd.edu/dc/object/bb7168347s/_2.jpg,Student turning in her vote,,"December, 1964"
http://library.ucsd.edu/dc/object/bb71683489/_2.jpg,"Revelle Residence Halls site, facing south",,"November, 1964"
http://library.ucsd.edu/dc/object/bb7202476r/_2.jpg,Parents and students at UCSD Welcome Day event,,"September 26, 1965"
http://library.ucsd.edu/dc/object/bb71000868/_2.mp4,"University of California, San Diego: The Beginning - Film clips",,1963-1967
http://library.ucsd.edu/dc/object/bb7065957c/_2.jpg,Class of 1968 commemorative tree. UCSD pedestrian bridge in the background,,"June, 1965"
http://library.ucsd.edu/dc/object/bb71342220/_2.jpg,Looking south from Miramar Road toward Camp Matthews,,"October, 1966"
http://library.ucsd.edu/dc/object/bb70318312/_2.jpg,UCSD administrative assistant,,"April, 1965"
http://library.ucsd.edu/dc/object/bb7236609m/_2.jpg,"Students pass out information flyers, Mayer Hall in the background",,"September 26, 1965"
http://library.ucsd.edu/dc/object/bb7270739j/_2.jpg,Student Senate meeting,,"February, 1965"
http://library.ucsd.edu/dc/object/bb78168178/_2.jpg,"Revelle College under construction, looking northeast",,"June, 1965"
http://library.ucsd.edu/dc/object/bb7816818s/_2.jpg,Student Senate meeting,,"February, 1965"
http://library.ucsd.edu/dc/object/bb7850946p/_2.jpg,Galbraith Hall building site and graded area west of site with Mount Soledad in the background,,"January, 1964"
http://library.ucsd.edu/dc/object/bb78850816/_2.jpg,Revelle College dedication ceremony speakers,,"October 1, 1965"
http://library.ucsd.edu/dc/object/bb79192065/_2.jpg,Students playing tennis on Matthews campus tennis courts,,"December, 1964"
http://library.ucsd.edu/dc/object/bb7919207p/_2.jpg,Bonner Hall under construction,,"January, 1964"
http://library.ucsd.edu/dc/object/bb76120379/_2.jpg,Freshman registration sign,,"September 26, 1965"
http://library.ucsd.edu/dc/object/bb7612038t/_2.jpg,UCSD administrative assistant,,"April, 1965"
http://library.ucsd.edu/dc/object/bb7577909x/_2.jpg,Students waiting in the Urey Hall parking lot,,"December, 1964"
http://library.ucsd.edu/dc/object/bb77485580/_2.jpg,Students boarding UCSD's first and only school bus,,"December, 1964"
http://library.ucsd.edu/dc/object/bb7543777k/_2.jpg,Freshmen at Welcome Day registration tables in front of Galbraith Hall,,"September 26, 1965"
http://library.ucsd.edu/dc/object/bb76461670/_2.jpg,Miramar Road looking east from future intersection with North Torrey Pines Road,,"June, 1965"
http://library.ucsd.edu/dc/object/bb7987471p/_2.jpg,Female student getting on UCSD's first and only school bus,,"December, 1964"
http://library.ucsd.edu/dc/object/bb8021597n/_2.jpg,Revelle Plaza,,"October, 1966"
http://library.ucsd.edu/dc/object/bb8431160j/_2.jpg,Road construction on western boundary of Revelle College,,"June, 1965"
http://library.ucsd.edu/dc/object/bb8465286v/_2.jpg,Student Senate meeting,,"February, 1965"
http://library.ucsd.edu/dc/object/bb8465287c/_2.jpg,"Mayer Hall, looking southeast",,"April, 1965"
http://library.ucsd.edu/dc/object/bb8977238d/_2.jpg,Revelle College Residence Halls,,"September, 1965"
http://library.ucsd.edu/dc/object/bb9932878r/_2.jpg,"Commemorative tree of the class of 1968, one year later",,"June, 1966"
http://library.ucsd.edu/dc/object/bb98987514/_2.jpg,Revelle College plaza area site,,"November, 1964"
http://library.ucsd.edu/dc/object/bb9864616j/_2.jpg,Roger Revelle,,"October 1, 1965"
http://library.ucsd.edu/dc/object/bb8158117c/_2.jpg,Bonner Hall building dedication ceremony audience,,"May 7, 1965"
http://library.ucsd.edu/dc/object/bb8089859p/_2.jpg,"Mayer Hall and roof of York Hall, looking southeast, with Interstate 5 interchange in the background",,"October, 1966"
http://library.ucsd.edu/dc/object/bb9796361n/_2.jpg,Galbraith Hall building taken from North Torrey Pines road,,"April, 1965"
http://library.ucsd.edu/dc/object/bb97622262/_2.jpg,"Urey Hall, west face",,"January, 1964"
