url,full_title_tesim,spotlight_upload_attribution_tesim,spotlight_upload_date_tesim
http://library.ucsd.edu/dc/object/bb9420849w/_2.jpg,Standard Oil Company - Essomarine advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb6041979n/_2.jpg,National Broadcasting Company Vital Spots advertisement,"National Broadcasting Company, inc; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb2048770r/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb97962836/_2.jpg,Flit advertisement proof,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb5256989z/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb6826973m/_2.jpg,Warren Telechron Company advertisement,"Seuss, Dr.; Warren Telechron Co.",1930-1940
http://library.ucsd.edu/dc/object/bb5666550t/_2.jpg,Standard Oil Company - Essomarine advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb13320396/_2.jpg,Flit advertisement proof,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb7714348t/_2.jpg,Vico Motor Oil advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb4028310x/_2.jpg,Daggett and Ramsdell advertisement,"Daggett and Ramsdell; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb67245813/_2.jpg,Flit advertisement proof,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb5598288p/_2.jpg,National Broadcasting Company Vital Spots advertisement,"National Broadcasting Company, inc; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb7680222z/_2.jpg,Holly Sugar advertisement original,"Holly Sugar; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb3004410n/_2.jpg,Flit advertisement proof,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb1912250q/_2.jpg,Contractor postal cards,"Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb67587092/_2.jpg,Snyder and Black Incorporated advertisement,"Seuss, Dr.; Snyder and Black, inc",1930-1940
http://library.ucsd.edu/dc/object/bb89430313/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb6383282r/_2.jpg,New Departure Ball Bearing Company advertisement,"New Departure Ball Bearing Company; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb4881561w/_2.jpg,Warren Telechron Company advertisement,"Seuss, Dr.; Warren Telechron Co.",1930-1940
http://library.ucsd.edu/dc/object/bb5768939g/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb0854221g/_2.jpg,Vico Motor Oil advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb23900707/_2.jpg,Macy Westchester advertisement,"Macy Westchester; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb2151161x/_2.jpg,Macy Westchester advertisement,"Macy Westchester; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb81921716/_2.jpg,Standard Oil Company - Essolube - Zero-doccus advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb0376400r/_2.jpg,National Broadcasting Company Vital Spots advertisement,"National Broadcasting Company, inc; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb81239104/_2.jpg,Vico Motor Oil advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb2970281f/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
